kernel;acc;iter
:parameterupdate;0;527
rmmala_pos;0;528
:parameterupdate;0;528
rmmala_pos;1;529
:parameterupdate;1;529
rmmala_pos;1;530
:parameterupdate;0;530
rmmala_pos;1;531
:parameterupdate;1;531
rmmala_pos;1;532
:parameterupdate;0;532
rmmala_pos;1;533
:parameterupdate;0;533
rmmala_pos;1;534
:parameterupdate;0;534
rmmala_pos;1;535
:parameterupdate;0;535
rmmala_pos;1;536
:parameterupdate;0;536
rmmala_pos;1;537
:parameterupdate;0;537
rmmala_pos;0;538
:parameterupdate;0;538
rmmala_pos;0;539
:parameterupdate;0;539
rmmala_pos;1;540
:parameterupdate;1;540
rmmala_pos;1;541
:parameterupdate;1;541
rmmala_pos;0;542
:parameterupdate;0;542
rmmala_pos;1;543
:parameterupdate;0;543
rmmala_pos;1;544
:parameterupdate;0;544
rmmala_pos;1;545
:parameterupdate;0;545
rmmala_pos;0;546
:parameterupdate;1;546
rmmala_pos;0;547
:parameterupdate;1;547
rmmala_pos;1;548
:parameterupdate;0;548
rmmala_pos;1;549
:parameterupdate;1;549
rmmala_pos;1;550
:parameterupdate;1;550
rmmala_pos;0;551
:parameterupdate;0;551
rmmala_pos;1;552
:parameterupdate;1;552
rmmala_pos;0;553
:parameterupdate;0;553
rmmala_pos;1;554
:parameterupdate;1;554
rmmala_pos;1;555
:parameterupdate;0;555
rmmala_pos;1;556
:parameterupdate;0;556
rmmala_pos;1;557
:parameterupdate;0;557
rmmala_pos;0;558
:parameterupdate;0;558
rmmala_pos;1;559
:parameterupdate;0;559
rmmala_pos;1;560
:parameterupdate;1;560
rmmala_pos;0;561
:parameterupdate;0;561
rmmala_pos;1;562
:parameterupdate;1;562
rmmala_pos;1;563
:parameterupdate;0;563
rmmala_pos;1;564
:parameterupdate;0;564
rmmala_pos;0;565
:parameterupdate;0;565
rmmala_pos;1;566
:parameterupdate;0;566
rmmala_pos;0;567
:parameterupdate;0;567
rmmala_pos;1;568
:parameterupdate;0;568
rmmala_pos;1;569
:parameterupdate;1;569
rmmala_pos;0;570
:parameterupdate;0;570
rmmala_pos;1;571
:parameterupdate;1;571
rmmala_pos;0;572
:parameterupdate;0;572
rmmala_pos;1;573
:parameterupdate;1;573
rmmala_pos;0;574
:parameterupdate;1;574
rmmala_pos;0;575
:parameterupdate;1;575
rmmala_pos;1;576
:parameterupdate;0;576
rmmala_pos;1;577
:parameterupdate;0;577
rmmala_pos;1;578
:parameterupdate;0;578
rmmala_pos;1;579
:parameterupdate;0;579
rmmala_pos;1;580
:parameterupdate;1;580
rmmala_pos;1;581
:parameterupdate;0;581
